company,type_of_server,nature_of_breach,vertical,raw_record_number,severity
Cloud_Entity_216,Azure,Azure Event Hub with misconfigured partition allowing data leakage.,Data Exposure,2 million records,CRITICAL
Cloud_Entity_217,Alibaba Cloud,Alibaba Cloud RDS with no backup encryption.,Encryption,1.2 million records,CRITICAL
Cloud_Entity_218,IBM Cloud,IBM Cloud VPC with misconfigured public gateway allowing traffic interception.,Network Security,1.2 million records,CRITICAL
Cloud_Entity_219,IBM Cloud,IBM Cloud Functions with misconfigured sequence allowing unauthorized invocation.,Access Control,10.5 million records,CRITICAL
Cloud_Entity_220,AWS,AWS CloudFormation with misconfigured stack policy allowing unauthorized updates.,Access Control,"25,000 records",HIGH
Cloud_Entity_221,Azure,Azure Virtual Network with misconfigured subnet delegation allowing privilege escalation.,Privilege Escalation,Unknown,MEDIUM
Cloud_Entity_222,IBM Cloud,IBM Cloud Object Storage with misconfigured bucket versioning exposing deleted objects.,Data Exposure,Unknown,MEDIUM
Cloud_Entity_223,AWS,AWS SNS with misconfigured message policy exposing sensitive data.,Data Exposure,1.2 million records,CRITICAL
Cloud_Entity_224,IBM Cloud,IBM Cloud Functions with no concurrency limits.,Resource Control,"500,000 records",HIGH
Cloud_Entity_225,Azure,Azure Virtual Machine with misconfigured network interface allowing traffic sniffing.,Network Security,Unknown,MEDIUM
Cloud_Entity_226,IBM Cloud,IBM Cloud VPC with misconfigured endpoint allowing unauthorized access.,Access Control,10.5 million records,CRITICAL
Cloud_Entity_227,Oracle Cloud,Oracle Cloud Compute with outdated OS image.,Patch Management,"500,000 records",HIGH
Cloud_Entity_228,Azure,Azure Event Hub with no access control.,Access Control,Unknown,MEDIUM
Cloud_Entity_229,GCP,GCP Cloud Functions with misconfigured retry policy allowing resource exhaustion.,Denial of Service,Unknown,MEDIUM
Cloud_Entity_230,Oracle Cloud,Oracle Cloud Compute with misconfigured instance metadata allowing SSRF.,Server-Side Request Forgery,2 million records,CRITICAL
Cloud_Entity_231,Azure,Azure Data Lake with no encryption.,Encryption,1.2 million records,CRITICAL
Cloud_Entity_232,Alibaba Cloud,Alibaba Cloud RDS with misconfigured audit logging exposing sensitive queries.,Data Exposure,"25,000 records",HIGH
Cloud_Entity_233,GCP,GCP Cloud Composer with misconfigured environment allowing code injection.,Code Injection,"500,000 records",HIGH
Cloud_Entity_234,Azure,Azure Virtual Machine with misconfigured boot diagnostics exposing sensitive data.,Data Exposure,"500,000 records",HIGH
Cloud_Entity_235,IBM Cloud,IBM Cloud VPC with misconfigured endpoint service allowing unauthorized access.,Access Control,10.5 million records,CRITICAL
Cloud_Entity_236,Azure,Azure Virtual Network with misconfigured DNS settings allowing domain hijacking.,Domain Hijacking,1.2 million records,CRITICAL
Cloud_Entity_237,AWS,AWS Redshift with misconfigured audit logging exposing query data.,Data Exposure,1.2 million records,CRITICAL
Cloud_Entity_238,Oracle Cloud,Oracle Cloud Database with misconfigured listener exposing data.,Data Exposure,Unknown,MEDIUM
Cloud_Entity_239,GCP,GCP Cloud SQL with misconfigured maintenance window allowing DoS attacks.,Denial of Service,10.5 million records,CRITICAL
Cloud_Entity_240,Azure,Azure Synapse Analytics with misconfigured pipeline allowing code execution.,Code Injection,Unknown,MEDIUM
Cloud_Entity_241,Oracle Cloud,Oracle Cloud VCN with misconfigured service gateway allowing lateral movement.,Network Security,2 million records,CRITICAL
Cloud_Entity_242,GCP,GCP Cloud Monitoring with public dashboard.,Access Control,Unknown,MEDIUM
Cloud_Entity_243,GCP,GCP Cloud DNS with misconfigured zone transfer allowing data exposure.,Data Exposure,1.2 million records,CRITICAL
Cloud_Entity_244,IBM Cloud,IBM Cloud Security Advisor disabled.,Monitoring,"25,000 records",HIGH
Cloud_Entity_245,Azure,Azure Data Lake with misconfigured role assignment allowing privilege escalation.,Privilege Escalation,10.5 million records,CRITICAL
Cloud_Entity_246,Azure,Azure Virtual Machine with misconfigured extension allowing privilege escalation.,Privilege Escalation,"500,000 records",HIGH
Cloud_Entity_247,GCP,GCP Cloud Functions with misconfigured timeout allowing resource exhaustion.,Denial of Service,1.2 million records,CRITICAL
Cloud_Entity_248,Azure,Azure API Management with no authentication.,API Security,"25,000 records",HIGH
Cloud_Entity_249,Azure,Azure Function with no CORS policy.,API Security,1.2 million records,CRITICAL
Cloud_Entity_250,IBM Cloud,IBM Cloud Functions with misconfigured action binding allowing unauthorized invocation.,Access Control,10.5 million records,CRITICAL
Cloud_Entity_251,IBM Cloud,IBM Cloud Kubernetes with misconfigured pod security context allowing privilege escalation.,Privilege Escalation,10.5 million records,CRITICAL
Cloud_Entity_252,Oracle Cloud,Oracle Cloud File Storage with misconfigured mount target allowing unauthorized access.,Access Control,1.2 million records,CRITICAL
Cloud_Entity_253,Alibaba Cloud,Alibaba Cloud OSS with no access logging.,Monitoring,10.5 million records,CRITICAL
Cloud_Entity_254,AWS,AWS SNS with misconfigured message filtering exposing sensitive data.,Data Exposure,10.5 million records,CRITICAL
Cloud_Entity_255,Alibaba Cloud,Alibaba Cloud RDS with misconfigured encryption key allowing data exposure.,Encryption,"500,000 records",HIGH
Cloud_Entity_256,AWS,AWS ECS with no task execution role restrictions.,IAM Misconfiguration,1.2 million records,CRITICAL
Cloud_Entity_257,GCP,GCP Cloud Storage with misconfigured uniform bucket-level access exposing data.,Data Exposure,1.2 million records,CRITICAL
Cloud_Entity_258,AWS,AWS CodeBuild with no logging enabled.,Monitoring,"25,000 records",HIGH
Cloud_Entity_259,Oracle Cloud,Oracle Cloud Identity with misconfigured compartment policy allowing privilege escalation.,Privilege Escalation,1.2 million records,CRITICAL
Cloud_Entity_260,GCP,GCP Cloud SQL with misconfigured user privileges allowing privilege escalation.,Privilege Escalation,1.2 million records,CRITICAL
Cloud_Entity_261,IBM Cloud,IBM Cloud VPC with misconfigured load balancer allowing traffic interception.,Network Security,"25,000 records",HIGH
Cloud_Entity_262,Alibaba Cloud,Alibaba Cloud SLB with misconfigured health check interval allowing DoS attacks.,Denial of Service,Unknown,MEDIUM
Cloud_Entity_263,Alibaba Cloud,Alibaba Cloud OSS with misconfigured access log exposing request metadata.,Data Exposure,"25,000 records",HIGH
Cloud_Entity_264,Azure,Azure Virtual Network with misconfigured peering allowing lateral movement.,Network Security,Unknown,MEDIUM
Cloud_Entity_265,GCP,GCP Cloud SQL with misconfigured database flags allowing code execution.,Code Injection,"500,000 records",HIGH
Cloud_Entity_266,Alibaba Cloud,Alibaba Cloud ECS with misconfigured instance role allowing privilege escalation.,Privilege Escalation,10.5 million records,CRITICAL
Cloud_Entity_267,Oracle Cloud,Oracle Cloud File Storage with misconfigured NFS options allowing unauthorized access.,Access Control,Unknown,MEDIUM
Cloud_Entity_268,GCP,GCP Cloud Storage with misconfigured bucket notification allowing data exfiltration.,Data Exfiltration,Unknown,MEDIUM
Cloud_Entity_269,Alibaba Cloud,Alibaba Cloud ECS with misconfigured monitoring exposing instance metrics.,Data Exposure,10.5 million records,CRITICAL
Cloud_Entity_270,AWS,AWS Lambda with misconfigured logging exposing sensitive data.,Data Exposure,10.5 million records,CRITICAL
Cloud_Entity_271,IBM Cloud,IBM Cloud Security Group with misconfigured egress rules allowing data exfiltration.,Data Exfiltration,1.2 million records,CRITICAL
Cloud_Entity_272,IBM Cloud,IBM Cloud Kubernetes with misconfigured pod disruption budget allowing DoS attacks.,Denial of Service,2 million records,CRITICAL
Cloud_Entity_273,Azure,Azure Machine Learning with misconfigured endpoint allowing inference attacks.,Data Exposure,"25,000 records",HIGH
Cloud_Entity_274,Alibaba Cloud,Alibaba Cloud ECS with no resource monitoring.,Monitoring,"25,000 records",HIGH
Cloud_Entity_275,GCP,GCP Dataflow with public pipeline access.,Access Control,1.2 million records,CRITICAL
Cloud_Entity_276,GCP,GCP Cloud Storage bucket with legacy ACLs.,Misconfiguration,Unknown,MEDIUM
Cloud_Entity_277,AWS,AWS KMS with no key rotation enabled.,Security Policy,Unknown,MEDIUM
Cloud_Entity_278,IBM Cloud,IBM Cloud Functions with misconfigured package binding allowing unauthorized access.,Access Control,Unknown,MEDIUM
Cloud_Entity_279,GCP,GCP BigQuery with no CMEK encryption.,Encryption,"500,000 records",HIGH
Cloud_Entity_280,AWS,AWS ECS with misconfigured container port exposing internal services.,Data Exposure,10.5 million records,CRITICAL
Cloud_Entity_281,IBM Cloud,IBM Cloud Security Group with misconfigured protocol allowing unauthorized access.,Access Control,Unknown,MEDIUM
Cloud_Entity_282,AWS,Unencrypted AWS Lambda environment variables leaking API keys.,Data Exposure,1.2 million records,CRITICAL
Cloud_Entity_283,GCP,GCP BigQuery with misconfigured view access allowing unauthorized queries.,Access Control,1.2 million records,CRITICAL
Cloud_Entity_284,GCP,GCP Cloud Run with misconfigured service account allowing unauthorized access.,Access Control,"500,000 records",HIGH
Cloud_Entity_285,Oracle Cloud,Oracle Cloud Object Storage with misconfigured bucket policy allowing data tampering.,Data Exposure,2 million records,CRITICAL
Cloud_Entity_286,AWS,AWS ElastiCache with misconfigured access control allowing unauthorized access.,Access Control,"25,000 records",HIGH
Cloud_Entity_287,Azure,Azure Data Lake with misconfigured file system access allowing data tampering.,Data Exposure,"25,000 records",HIGH
Cloud_Entity_288,Alibaba Cloud,Alibaba Cloud RDS with misconfigured monitoring exposing database metrics.,Data Exposure,"25,000 records",HIGH
Cloud_Entity_289,Azure,Azure Virtual Machine with misconfigured disk encryption exposing data.,Encryption,1.2 million records,CRITICAL
Cloud_Entity_290,AWS,AWS Redshift with misconfigured parameter group allowing insecure connections.,Network Security,1.2 million records,CRITICAL
Cloud_Entity_291,Alibaba Cloud,Alibaba Cloud OSS with misconfigured bucket policy allowing unauthorized access.,Access Control,1.2 million records,CRITICAL
Cloud_Entity_292,Alibaba Cloud,Alibaba Cloud ECS with misconfigured instance metadata allowing SSRF attacks.,Server-Side Request Forgery,Unknown,MEDIUM
Cloud_Entity_293,GCP,GCP Cloud DNS with misconfigured zone transfer exposing data.,Data Exposure,Unknown,MEDIUM
Cloud_Entity_294,GCP,GCP Compute Engine with no shielded VMs.,Security Policy,"25,000 records",HIGH
Cloud_Entity_295,AWS,AWS SNS with misconfigured subscription endpoint allowing data exfiltration.,Data Exfiltration,1.2 million records,CRITICAL
Cloud_Entity_296,IBM Cloud,IBM Cloud Functions with misconfigured trigger policy allowing unauthorized invocation.,Access Control,"500,000 records",HIGH
Cloud_Entity_297,Oracle Cloud,Oracle Cloud Identity with misconfigured MFA policy allowing weak authentication.,Authentication,"500,000 records",HIGH
Cloud_Entity_298,AWS,AWS S3 bucket with misconfigured replication exposing data.,Data Exposure,"500,000 records",HIGH
Cloud_Entity_299,Alibaba Cloud,Alibaba Cloud RDS with misconfigured snapshot policy exposing data.,Data Exposure,2 million records,CRITICAL
Cloud_Entity_300,Oracle Cloud,Oracle Cloud VCN with misconfigured security group allowing lateral movement.,Network Security,"500,000 records",HIGH
Cloud_Entity_301,GCP,GCP Cloud SQL with misconfigured binary log retention exposing data.,Data Exposure,10.5 million records,CRITICAL
Cloud_Entity_302,Oracle Cloud,Oracle Cloud Compute with no secure boot.,Security Policy,10.5 million records,CRITICAL
Cloud_Entity_303,GCP,GCP Cloud Functions with misconfigured trigger policy allowing unauthorized invocation.,Access Control,"500,000 records",HIGH
Cloud_Entity_304,Alibaba Cloud,Alibaba Cloud RDS with misconfigured read-only user allowing data tampering.,Data Exposure,"25,000 records",HIGH
Cloud_Entity_305,IBM Cloud,IBM Cloud Functions with misconfigured trigger policy allowing unauthorized invocation.,Access Control,10.5 million records,CRITICAL
Cloud_Entity_306,AWS,AWS EKS with misconfigured pod security policy allowing privilege escalation.,Privilege Escalation,10.5 million records,CRITICAL
Cloud_Entity_307,IBM Cloud,IBM Cloud Security Group with open ports.,Network Security,2 million records,CRITICAL
Cloud_Entity_308,Alibaba Cloud,Alibaba Cloud SLB with HTTP instead of HTTPS.,Encryption,"25,000 records",HIGH
Cloud_Entity_309,IBM Cloud,IBM Cloud Functions with misconfigured concurrency allowing DoS attacks.,Denial of Service,"500,000 records",HIGH
Cloud_Entity_310,Alibaba Cloud,Alibaba Cloud OSS with no access control list.,Access Control,1.2 million records,CRITICAL
Cloud_Entity_311,GCP,GCP Pub/Sub with overly permissive IAM bindings.,IAM Misconfiguration,1.2 million records,CRITICAL
Cloud_Entity_312,Oracle Cloud,Oracle Cloud Load Balancer with misconfigured backend health check allowing DoS attacks.,Denial of Service,10.5 million records,CRITICAL
Cloud_Entity_313,IBM Cloud,IBM Cloud Security Group with misconfigured protocol allowing unauthorized access.,Access Control,10.5 million records,CRITICAL
Cloud_Entity_314,Oracle Cloud,Oracle Cloud Database with no connection encryption.,Encryption,"25,000 records",HIGH
Cloud_Entity_315,IBM Cloud,IBM Cloud Kubernetes with misconfigured service account token allowing cluster compromise.,Privilege Escalation,"25,000 records",HIGH
Cloud_Entity_316,GCP,GCP Cloud VPN with misconfigured encryption allowing weak ciphers.,Encryption,"500,000 records",HIGH
Cloud_Entity_317,GCP,GCP Cloud SQL with misconfigured backup configuration exposing data.,Data Exposure,Unknown,MEDIUM
Cloud_Entity_318,Alibaba Cloud,Alibaba Cloud OSS with misconfigured CORS allowing data exfiltration.,Data Exfiltration,Unknown,MEDIUM
Cloud_Entity_319,GCP,GCP Cloud Armor with misconfigured rate limiting allowing DoS attacks.,Denial of Service,2 million records,CRITICAL
Cloud_Entity_320,Alibaba Cloud,Alibaba Cloud ECS with misconfigured user data allowing code injection.,Code Injection,1.2 million records,CRITICAL
Cloud_Entity_321,Oracle Cloud,Oracle Cloud Database with misconfigured backup retention exposing old data.,Data Exposure,10.5 million records,CRITICAL
Cloud_Entity_322,Oracle Cloud,Oracle Cloud Identity with misconfigured password policy allowing weak credentials.,Authentication,2 million records,CRITICAL
Cloud_Entity_323,Oracle Cloud,Oracle Cloud Database with misconfigured audit policy allowing undetected access.,Monitoring,"500,000 records",HIGH
Cloud_Entity_324,Azure,Azure Virtual Machine with misconfigured public IP allowing unauthorized access.,Access Control,1.2 million records,CRITICAL
Cloud_Entity_325,AWS,AWS S3 bucket with misconfigured event trigger allowing unauthorized invocation.,Access Control,1.2 million records,CRITICAL
Cloud_Entity_326,AWS,AWS SNS with misconfigured topic policy allowing unauthorized access.,Access Control,10.5 million records,CRITICAL
Cloud_Entity_327,Azure,Azure Stream Analytics with no access control.,Access Control,"25,000 records",HIGH
Cloud_Entity_328,AWS,AWS S3 bucket with misconfigured event trigger allowing unauthorized actions.,Access Control,1.2 million records,CRITICAL
Cloud_Entity_329,Azure,Azure Synapse Analytics with no encryption.,Encryption,"500,000 records",HIGH
Cloud_Entity_330,Alibaba Cloud,Alibaba Cloud SLB with misconfigured health check allowing DoS attacks.,Denial of Service,1.2 million records,CRITICAL
Cloud_Entity_331,GCP,GCP Cloud Function with unauthenticated HTTP trigger.,IAM Misconfiguration,1.2 million records,CRITICAL
Cloud_Entity_332,AWS,AWS EC2 instance with exposed SSH port and weak key.,Access Control,Unknown,MEDIUM
Cloud_Entity_333,Alibaba Cloud,Alibaba Cloud SLB with insecure session handling leading to session hijacking.,Session Management,"25,000 records",HIGH
Cloud_Entity_334,AWS,AWS Lambda with misconfigured function policy allowing unauthorized invocation.,Access Control,"25,000 records",HIGH
Cloud_Entity_335,Oracle Cloud,Oracle Cloud File Storage with misconfigured snapshot allowing data exposure.,Data Exposure,10.5 million records,CRITICAL
Cloud_Entity_336,Oracle Cloud,Oracle Cloud Load Balancer with misconfigured backend policy allowing unauthorized access.,Access Control,10.5 million records,CRITICAL
Cloud_Entity_337,Oracle Cloud,Oracle Cloud Load Balancer with no rate limiting.,API Security,2 million records,CRITICAL
Cloud_Entity_338,Azure,Azure Virtual Network with misconfigured service endpoint allowing data exfiltration.,Data Exfiltration,2 million records,CRITICAL
Cloud_Entity_339,Alibaba Cloud,Alibaba RAM user with full access policy.,IAM Misconfiguration,2 million records,CRITICAL
Cloud_Entity_340,Oracle Cloud,Oracle Cloud Compute with misconfigured boot volume exposing data.,Data Exposure,2 million records,CRITICAL
Cloud_Entity_341,Azure,Azure Databricks with misconfigured workspace allowing data exfiltration.,Data Exfiltration,2 million records,CRITICAL
Cloud_Entity_342,IBM Cloud,IBM Cloud VPC with misconfigured subnet routing allowing traffic interception.,Network Security,"25,000 records",HIGH
Cloud_Entity_343,GCP,GCP Cloud Run with misconfigured CPU allocation allowing resource exhaustion.,Denial of Service,1.2 million records,CRITICAL
Cloud_Entity_344,IBM Cloud,IBM Cloud Functions with misconfigured timeout allowing resource exhaustion.,Denial of Service,"500,000 records",HIGH
Cloud_Entity_345,Alibaba Cloud,Alibaba Cloud ECS with misconfigured auto-scaling trigger allowing DoS attacks.,Denial of Service,"500,000 records",HIGH
Cloud_Entity_346,GCP,GCP Cloud Monitoring with misconfigured notification channel exposing alerts.,Data Exposure,1.2 million records,CRITICAL
Cloud_Entity_347,Alibaba Cloud,Alibaba Cloud ECS with misconfigured user data allowing code injection.,Code Injection,1.2 million records,CRITICAL
Cloud_Entity_348,Azure,Azure Stream Analytics with misconfigured output sink allowing data exfiltration.,Data Exfiltration,10.5 million records,CRITICAL
Cloud_Entity_349,GCP,GCP Cloud Storage with misconfigured CORS allowing cross-origin data exfiltration.,Data Exfiltration,1.2 million records,CRITICAL
Cloud_Entity_350,GCP,GCP Cloud Functions with no environment variable encryption.,Encryption,10.5 million records,CRITICAL
Cloud_Entity_351,Azure,Azure Kubernetes with no log analytics.,Monitoring,"25,000 records",HIGH
Cloud_Entity_352,Oracle Cloud,Oracle Cloud Database with public endpoint.,Network Security,2 million records,CRITICAL
Cloud_Entity_353,AWS,AWS RDS with misconfigured parameter group allowing insecure connections.,Network Security,1.2 million records,CRITICAL
Cloud_Entity_354,AWS,AWS SNS with misconfigured topic policy allowing unauthorized access.,Access Control,2 million records,CRITICAL
Cloud_Entity_355,Azure,Azure Data Lake with public access.,Access Control,1.2 million records,CRITICAL
Cloud_Entity_356,AWS,AWS S3 bucket with misconfigured event notifications exposing data to external services.,Data Exposure,Unknown,MEDIUM
Cloud_Entity_357,GCP,GCP Cloud Storage with no uniform bucket-level access.,Access Control,"500,000 records",HIGH
Cloud_Entity_358,GCP,GCP Cloud Storage with misconfigured bucket ACL allowing data tampering.,Data Exposure,"500,000 records",HIGH
Cloud_Entity_359,Alibaba Cloud,Alibaba Cloud ECS with no security group rules.,Network Security,Unknown,MEDIUM
Cloud_Entity_360,IBM Cloud,IBM Cloud VPC with misconfigured security group allowing unauthorized access.,Access Control,"25,000 records",HIGH
Cloud_Entity_361,Azure,Azure Virtual Network with no network security group.,Network Security,1.2 million records,CRITICAL
Cloud_Entity_362,IBM Cloud,IBM Cloud VPC with no ACL rules.,Network Security,Unknown,MEDIUM
Cloud_Entity_363,Alibaba Cloud,Alibaba Cloud OSS with misconfigured bucket tag allowing unauthorized access.,Access Control,"500,000 records",HIGH
Cloud_Entity_364,Azure,Azure Virtual Network with misconfigured peering allowing lateral movement.,Network Security,2 million records,CRITICAL
Cloud_Entity_365,Alibaba Cloud,Alibaba Cloud OSS with misconfigured access policy allowing data tampering.,Data Exposure,"25,000 records",HIGH
Cloud_Entity_366,IBM Cloud,IBM Cloud Kubernetes with exposed dashboard.,Access Control,Unknown,MEDIUM
Cloud_Entity_367,Alibaba Cloud,Alibaba Cloud OSS with misconfigured bucket access log exposing request metadata.,Data Exposure,Unknown,MEDIUM
Cloud_Entity_368,IBM Cloud,IBM Cloud Kubernetes with misconfigured pod security policy allowing privilege escalation.,Privilege Escalation,2 million records,CRITICAL
Cloud_Entity_369,Oracle Cloud,Oracle Cloud Database with misconfigured backup retention exposing old data.,Data Exposure,"500,000 records",HIGH
Cloud_Entity_370,Oracle Cloud,Oracle Cloud Compute with misconfigured metadata service allowing SSRF attacks.,Server-Side Request Forgery,Unknown,MEDIUM
Cloud_Entity_371,Oracle Cloud,Oracle Cloud Load Balancer with misconfigured session persistence exposing sessions.,Session Management,Unknown,MEDIUM
Cloud_Entity_372,Oracle Cloud,Oracle Cloud VCN with misconfigured route table allowing traffic interception.,Network Security,Unknown,MEDIUM
Cloud_Entity_373,IBM Cloud,IBM Cloud Databases with misconfigured failover allowing unauthorized access.,Access Control,"25,000 records",HIGH
Cloud_Entity_374,Azure,Azure Cognitive Services with misconfigured logging exposing sensitive data.,Data Exposure,Unknown,MEDIUM
Cloud_Entity_375,AWS,AWS EKS with misconfigured pod security policy allowing container breakout.,Privilege Escalation,1.2 million records,CRITICAL
Cloud_Entity_376,Azure,Azure Cosmos DB with misconfigured role definition allowing privilege escalation.,Privilege Escalation,2 million records,CRITICAL
Cloud_Entity_377,Azure,Azure API Management with exposed management API allowing configuration tampering.,API Security,"25,000 records",HIGH
